team,elo_rating,squad_market_value_m,squad_market_value_eur,avg_goals_scored,avg_goals_conceded,form_index,squad_size,avg_squad_age,fifa_ranking,value_imputed,matches_played
Cayman Islands,806.0,,,0.95,2.15,0.2,,,,,116.0
Chagos Islands,785.0,,,1.8666666666666667,4.666666666666667,0.09090909090909091,,,,,16.0
Sri Lanka,780.0,,,0.75,1.05,0.43636363636363634,,,,,205.0
Tuvalu,757.0,,,0.9,5.5,0.18181818181818182,,,,,34.0
Sint Eustatius,737.0,,,,,,,,,,
Mongolia,730.0,,,0.5,2.2,0.2909090909090909,,,,,97.0
Samoa,729.0,,,1.55,3.05,0.38181818181818183,,,,,58.0
Saint Barthelemy,725.0,,,,,,,,,,
Bahamas,719.0,,,1.05,3.85,0.07272727272727272,,,,,66.0
Guam,714.0,,,0.7,2.8,0.14545454545454545,,,,,114.0
Laos,707.0,1.3,1300000.0,0.95,2.65,0.14545454545454545,23.0,23.1,185.0,False,185.0
Wallis and Futuna,701.0,,,,,,,,,,
British Virgin Islands,693.0,,,1.05,1.75,0.3090909090909091,,,,,117.0
Vatican,692.0,,,,,,,,,,
Saba,691.0,,,,,,,,,,
East Timor,682.0,,,,,,,,,,
Saint Pierre and Miquelon,677.0,,,0.16666666666666666,10.333333333333334,,,,,,7.0
Turks and Caicos Islands,657.0,,,1.05,2.65,0.14545454545454545,,,,,52.0
Brunei,655.0,,,0.7,3.2,0.2,,,,,103.0
Anguilla,646.0,,,0.6,2.95,0.32727272727272727,,,,,90.0
Tibet,628.0,,,0.8666666666666667,4.2,0.0,,,,,16.0
Cook Islands,622.0,,,0.9,2.7,0.2727272727272727,,,,,50.0
US Virgin Islands,617.0,,,,,,,,,,
Bhutan,614.0,,,0.5,2.3,0.10909090909090909,,,,,100.0
Macao,595.0,,,,,,,,,,
Christmas Island,578.0,,,,,,,,,,
Falkland Islands,571.0,,,1.05,3.7,0.0,,,,,33.0
Federated States of Micronesia,563.0,,,,,,,,,,
Marshall Islands,559.0,,,,,,,,,,2.0
Kiribati,544.0,,,0.42857142857142855,9.857142857142858,,,,,,8.0
Tonga,520.0,,,0.95,4.2,0.3090909090909091,,,,,61.0
Niue,496.0,,,,,,,,,,
Northern Mariana Islands,432.0,,,0.7,4.6,0.14545454545454545,,,,,30.0
Cocos Islands,422.0,,,,,,,,,,
Palau,402.0,,,,,,,,,,1.0
Eastern Samoa,389.0,,,,,,,,,,
Moldova,0.0,10.2,10230000.0,0.85,2.35,0.0,26.0,25.8,159.0,False,296.0
