stage,count,probability
Group stage,2187,0.02187
Round of 32,32820,0.3282
Round of 16,29689,0.29689
Quarter-Final,19043,0.19043
Semi-Final,8345,0.08345
Runner-up,5284,0.05284
Winner,2632,0.02632
